text,true_emotion,predicted_emotion
"You're so thirsty for the chance to disagree w/ the left, that you don't even realize when something is an affront to your bigoted platform.",anger,anger
@TrussElise Obama must be fuming.. lol,anger,joy
@SSheil coincidentally watched Ulzana's Raid last night - brutally indignant filmmaking.,anger,anger
"Anger, resentment, and hatred are the destroyer of your fortune today.",anger,anger
@RealJamesWoods @KennyCoble saddest part of this whole mess is that all of this #anger is #misdirected they should march 2 the #WhiteHouse,anger,anger
@IllinoisLoyalty that Rutgers game was an abomination. An affront to God and man. We must never speak of it again.,anger,sadness
Lol little things like that make me so angry x,anger,anger
Sometimes I get mad over something so minuscule I try to ruin somebodies life not like lose your job like get you into federal prison #anger,anger,anger
"@huwellwell One chosen by the CLP members! MP seats are not for people to dole out to their mates, we elect candidates. #fuming",anger,anger
"Note to self ~ Stop laughing at things that offend you, it's ok to get mad at people \n#NoteToSelf #offended #mad #upset",anger,anger
@ZubairSabirPTI  pls dont insult the word 'Molna',anger,anger
"Just watched Django Unchained, Other people may frown, but I titter in delight! 2/5",anger,joy
"@HomeSwapperteam  Spent months arranging swap , new jobs etc, now I've found out she's been leading me on a merry dance. #fuming with her",anger,anger
Sometimes I get mad over something so minuscule I try to ruin somebodies life not like lose your job like get you into federal prison ,anger,anger
@danbloom1 beware the fury of a weak king,anger,anger
"@MaddenFreestyle i turn the game on wanting to play madden, and before i load up a game i just turn it off now.",anger,sadness
@ArcticFantasy I would have almost took offense to this if I actually snapped you,anger,anger
Just joined #pottermore and was sorted into HUFFLEPUFF 😡😡😡 ,anger,anger
@TrueAggieFan oh so that's where Brian was! Where was my invite? ,anger,anger
"Why to have vanity sizes?Now sizes S,XS(evenXXS sometimes) are too big, WTF?! Dear corporate jerks, Lithuania didn't need this. #rant ",anger,anger
"@madhav_pastey moral of the story, never check mails in the night. PS. Most notices have nothing much to worry about. @ashwinikn",fear,fear
@joey_coops yes Hun! Avoid at all costs!! #nightmare,fear,fear
also i had an awful nightmare involving being sick where worms were involved i was so disgusted when i woke up,fear,fear
On @Varneyco/@FoxBusiness to talk latest on #Chelsea Bombing + #Ahmad_Khan_Rahami's trips to #Afghanistan/#Pakistan #tcot ,fear,fear
@mikefreemanNFL \nIsn't OBrien supposed to be some sort of offensive genius ,fear,anger
Not the best horror ever but I like that the uncertainty,fear,fear
Staff on @ryainair FR1005. Asked for info and told to look online. You get what you pay for. #Ryanair @STN_Airport #Compensation ,fear,anger
Southend players always haunt Man U,fear,anger
"Came in to work today 1.5 hours late.1st thing I hear: 'Ma'am,the big boss has been waiting for you in his office.' #panic #hateBeingLate 😩😪",fear,fear
"He called me fat, so I pushed him into the lockers then he threaten to sue me' 😂",fear,anger
"@spencer0415 awe, I love you kid!!",fear,joy
@All4 is the android app it designed to be buggy and work sporadically on a fire TV box? #shocking,fear,anger
"@stephenfhayes Mustard gas = hostile work environment, not #terrorism; call #OSHA not #military",fear,anger
The moment you bring her to meet your best friend and you're nervous af! 😬😆  #thefriendtest,fear,fear
@hollywooddivas @TMZ_Sports Idiots like Larry Sanders scare us All!How can Morons these days Rush 2 Judge #Police w/o all facts yet?FU thugs,fear,anger
I don't want speak front to him   #nopanicattack,fear,fear
"Really.....#Jumanji 2....w/ The Rock, Jack Black, and Kevin Hart...are you kidding me! WTF! #ThisIsATerribleIdea ",fear,anger
Northampton are awful 🙈,fear,sadness
Okay. Brace yourself. I will attempt my first loaf of bread in the morning. I will use a dutch oven. I will make the dough now. ,fear,fear
My Modern Proverb: 'Don't let anyone intimidate you about being single; most marriages end in divorce.',fear,joy
"Be it a rainy day, be it cheerful sunshine, I am a Prussian, want nothing to be but a Prussian.:|",joy,joy
Sioux Valley wins home competitive #cheer invite with a score of 158. ...Dell Rapids second at 138,joy,joy
"Imagine how sad LA fans are gona be when they get eliminated...Man that's gonna be Nirvana, a religious experience rejoicing in their misery",joy,joy
"@airtelindia have some issues with my broadband bill ,I am charged for the month before I signed up with airtel.. ",joy,anger
So far ours greet have raised £250 for @HGatChristmas with more to come in #sparkling @CllrJohnFox @simoncotton69,joy,joy
A lifetime of laughter at the expense of the death of a bachelor,joy,joy
I hate it when im singing and some idiot thinks they can just join in with me like...this is not fcking glee #MeanRikonaBot,joy,anger
"Our tone of voice: we're like One Direction, we're thoughtful and timid, yet playful",joy,joy
Nawaz Sharif is getting more funnier than @kapilsharmak9 day by day.  #challenge #kashmir #baloch,joy,joy
"If yiu don't respond .o an email within 7 days, you willxbe killed by an animated gif of the girl froa The Ri.g.",joy,fear
@bruins_514 @gorddownie @thehipdotcom It would be #TragicallyHip if they can #help @TOYSFORASMILE make #hospitalized  #sick #kids #smile 😊✌❤,joy,joy
Somebody who has braved the storm is brewing. #cheerful,joy,joy
"it gets better. without explanation; you just wake up one morning and you’re just happy, totally and utterly elated.",joy,joy
@hesham786 that's the spirit #optimism,joy,joy
@Bridget_Jones was joyous. Worried I would be disappointed. Most definitely was not. #chickflick #giggles #comethefuckonbridget,joy,joy
@HunterDean_ [he gives a gleeful squeak and wraps around you] All mine!,joy,joy
@kwelbyroberts they will come and you will rejoice at their arrival.,joy,joy
@GameGrumps THANK YOU SO MUCH FOR COMING TO DETROIT I'm going to sob joyful rainbows now brb,joy,joy
How can l rule my mind !!!!!! \nIt's hilarious that you can't 😭😑😮,joy,sadness
A #new day to #live and #smile. Hope all the #followers a nice #night or #day. :D,joy,joy
@FFBren @CDCarter13 included for maximum #sadness,sadness,sadness
Folk Band 'Thistle Down' will be replaced by 'The Paul Edwards Quartet' at Laurel Bank Park Sat 24 11am - 3pm due to ill health #jazz ,sadness,sadness
"@CovinoandRich just heard back2back,  guess that's why they call it the blues &amp; she's got the look, but I can only sing tickle sacks version",sadness,sadness
"@DxfyingGrxvity - frustration, looking up at Elphaba in a frown of aggravation. Her high pitched voice was growing more and more --",sadness,anger
"I'd rather laugh with the rarest genius, in beautiful alliance with his own being, where he kept his sadness. #melancholy",sadness,sadness
"Donating to Trump puts a damper on a very exciting @Cubs season. Really bad look, Ricketts family.",sadness,anger
"@kempicepoland don't think he did, and he didn't have the rucksack or laptop in his possession, murky business, on that note I'm away to bed",sadness,sadness
@Barcabhoy1 Of course not. Didn't sink his studs into a knee like Forrester,sadness,anger
Season 3 and Charlie is still a prick! #lost,sadness,anger
“Dyslexia is the affliction of a frozen genius.”― Stephen Richards,sadness,sadness
Remembering those day when u still did'nt know kpop n thinking about how sad your life was without it - Kpop fan,sadness,joy
"Hello my dear friends, I will be back online this Friday night. I miss you! #sober #sobriety #recovery",sadness,joy
A3: But chronic sadness may mean there are underlying issues than getting sad occassionally over a particular issue (2/2) #mhchat,sadness,sadness
This shit hurting my heart 😪 that's how serious it is .,sadness,sadness
I can't WAIT to go to work tomorrow with a high as fuck fever. [sarcasm]\nHopefully I'll feel better tomorrow.\nBut I doubt it. #pessimism,sadness,sadness
Buddha doesn't possess enough power to deliver you from your affliction!,sadness,anger
"@GRIPLIKEAVICE_ I wouldn't mind if it didn't you know, threaten my job when I disagree. Puts a damper on things.",sadness,fear
Public products: high downhearted price tag consumer survey sum and substance: OVth,sadness,sadness
All I want to do is watch some netflix but I am stuck here in class. #depressing,sadness,sadness
"340:892 All with weary task fordone.\nNow the wasted brands do glow,\nWhilst the scritch-owl, scritching loud,\n#AMNDBots",sadness,sadness
